"","Date","Open","High","Low","Close","Volume","OI"
"215",2024-06-28 07:19:00,24360.1,24360.1,24351.85,24351.85,650,40700
"216",2024-06-28 07:20:00,24351.85,24351.85,24349,24349,1000,40700
"217",2024-06-28 07:21:00,24350,24355,24348.05,24353.25,475,41525
"218",2024-06-28 07:22:00,24354.15,24354.15,24353.65,24353.65,300,41525
"219",2024-06-28 07:23:00,24350.05,24353.65,24350.05,24353.65,375,41525
"220",2024-06-28 07:24:00,24353,24353,24350.05,24353,150,41875
"221",2024-06-28 07:25:00,24350,24353.65,24348,24353.65,700,41875
"222",2024-06-28 07:26:00,24356,24359.95,24355,24359.95,375,41875
"223",2024-06-28 07:27:00,24355,24360,24355,24360,300,43000
"224",2024-06-28 07:28:00,24359,24359,24357.6,24357.6,275,43000
"225",2024-06-28 07:29:00,24353.2,24355,24350,24355,675,43000
"226",2024-06-28 07:30:00,24355,24355,24355,24355,25,43000
"227",2024-06-28 07:31:00,24358.9,24358.9,24358.9,24358.9,50,43375
"228",2024-06-28 07:32:00,24358.9,24358.9,24358.9,24358.9,200,43375
"229",2024-06-28 07:33:00,24358.9,24361,24358.9,24361,225,43725
"230",2024-06-28 07:34:00,24364,24371.4,24364,24369,150,43725
"231",2024-06-28 07:35:00,24368.2,24371.75,24368.2,24371.75,125,43725
"232",2024-06-28 07:36:00,24370.75,24370.75,24370.75,24370.75,25,43875
"233",2024-06-28 07:37:00,24366,24366,24365,24365,100,43875
"234",2024-06-28 07:38:00,24365,24365,24365,24365,0,43875
"235",2024-06-28 07:39:00,24355.85,24356,24355.85,24356,200,43950
"236",2024-06-28 07:40:00,24357.6,24357.6,24357.05,24357.05,125,43950
"237",2024-06-28 07:41:00,24350.7,24361.75,24350.7,24361.75,100,43950
"238",2024-06-28 07:42:00,24357.8,24366,24357.8,24366,2325,44550
"239",2024-06-28 07:43:00,24366,24373.3,24364.6,24364.6,950,44550
"240",2024-06-28 07:44:00,24365,24378.65,24363.05,24378.65,1075,44550
"241",2024-06-28 07:45:00,24376,24388,24369.8,24388,675,47875
"242",2024-06-28 07:46:00,24390,24390.95,24387.65,24387.65,225,47875
"243",2024-06-28 07:47:00,24380,24386.7,24372.55,24376.25,200,47875
